T: 49587,   	dT: 7.56,   	P: 0,   	I: -18,   	D: -2,   	V: -20,   	L: -0.52,   	R: -0.52
T: 49595,   	dT: 7.57,   	P: 0,   	I: -22,   	D: -2,   	V: -24,   	L: -0.52,   	R: -0.26
T: 49602,   	dT: 7.58,   	P: -1,   	I: -26,   	D: -2,   	V: -29,   	L: -0.52,   	R: -0.52
T: 49610,   	dT: 7.64,   	P: -1,   	I: -31,   	D: -3,   	V: -35,   	L: -0.26,   	R: -0.51
T: 49618,   	dT: 7.65,   	P: -1,   	I: -37,   	D: -3,   	V: -41,   	L: -0.77,   	R: -0.51
T: 49625,   	dT: 7.66,   	P: -1,   	I: -44,   	D: -4,   	V: -49,   	L: -0.77,   	R: -0.77
T: 49633,   	dT: 7.65,   	P: -2,   	I: -52,   	D: -4,   	V: -58,   	L: -0.77,   	R: -0.77
T: 49641,   	dT: 7.66,   	P: -2,   	I: -60,   	D: -4,   	V: -66,   	L: -0.77,   	R: -0.51
T: 49648,   	dT: 7.64,   	P: -1,   	I: -66,   	D: -3,   	V: -70,   	L: -0.51,   	R: -0.51
T: 49656,   	dT: 7.65,   	P: 0,   	I: -67,   	D: 0,   	V: -67,   	L: -0.51,   	R: -0.77
T: 49663,   	dT: 7.48,   	P: 0,   	I: -71,   	D: -2,   	V: -73,   	L: -0.79,   	R: -0.79
T: 49671,   	dT: 7.57,   	P: -1,   	I: -75,   	D: -2,   	V: -78,   	L: -1.04,   	R: -1.04
T: 49679,   	dT: 7.65,   	P: 0,   	I: -78,   	D: -1,   	V: -79,   	L: -1.28,   	R: -1.03
T: 49686,   	dT: 7.58,   	P: 0,   	I: -79,   	D: 0,   	V: -79,   	L: -1.04,   	R: -1.04
T: 49694,   	dT: 7.47,   	P: 0,   	I: -79,   	D: 0,   	V: -79,   	L: -1.05,   	R: -1.31
T: 49701,   	dT: 7.48,   	P: 0,   	I: -79,   	D: 0,   	V: -79,   	L: -1.57,   	R: -1.58
T: 49709,   	dT: 7.49,   	P: 0,   	I: -79,   	D: 0,   	V: -79,   	L: -1.57,   	R: -1.57
T: 49716,   	dT: 7.47,   	P: 0,   	I: -77,   	D: 0,   	V: -77,   	L: -1.57,   	R: -1.57
T: 49724,   	dT: 7.49,   	P: 0,   	I: -75,   	D: 1,   	V: -74,   	L: -1.57,   	R: -1.58
T: 49731,   	dT: 7.47,   	P: 0,   	I: -72,   	D: 1,   	V: -71,   	L: -1.84,   	R: -1.58
T: 49739,   	dT: 7.48,   	P: 0,   	I: -70,   	D: 1,   	V: -69,   	L: -1.84,   	R: -1.84
