time, x_accel, z_accel, left_enc, right_enc
4617864, 841, 6, 3, 7
4619732, 840, 4, 3, 7
4621604, 840, 4, 3, 7
4623472, 840, 4, 3, 7
4625344, 841, 4, 3, 7
4627212, 840, 4, 3, 7
4629084, 840, 4, 3, 7
4630952, 840, 4, 3, 7
4632824, 840, 4, 3, 7
4634692, 840, 4, 3, 7
4636564, 840, 4, 3, 7
4638432, 840, 3, 3, 7
4640304, 841, 4, 3, 7
4642172, 840, 3, 3, 7
4644044, 840, 3, 3, 7
4645912, 840, 3, 3, 7
4647784, 840, 4, 3, 7
4649652, 840, 5, 3, 7
4651524, 840, 4, 3, 7
4653392, 840, 4, 3, 7
4655264, 840, 4, 3, 7
4657132, 840, 6, 3, 7
4659004, 840, 5, 3, 7
4660872, 840, 3, 3, 7
4662744, 840, 4, 3, 7
4664616, 840, 4, 3, 7
4666484, 840, 4, 3, 7
4668352, 840, 4, 3, 7
4670224, 840, 4, 3, 7
4672092, 840, 4, 3, 7
4673964, 840, 5, 3, 7
4675832, 840, 9, 3, 7
4677704, 840, 13, 3, 7
4679660, 841, 15, 3, 7
4681616, 840, 13, 3, 7
4683568, 840, 9, 3, 7
4685440, 841, 6, 3, 7
4687308, 840, 6, 3, 7
4689180, 840, 6, 3, 7
4691048, 840, 6, 3, 7
4692920, 840, 8, 3, 7
4694788, 840, 7, 3, 7
4696660, 840, 8, 3, 7
4698528, 840, 10, 3, 7
4700484, 840, 11, 3, 7
4702440, 840, 10, 3, 7
4704392, 840, 7, 3, 7
4706264, 840, 5, 3, 7
4708132, 840, 4, 3, 7
4710004, 840, 4, 3, 7
4711872, 840, 4, 3, 7
4713744, 840, 5, 3, 7
4715612, 840, 4, 3, 7
4717484, 840, 4, 3, 7
4719352, 840, 4, 3, 7
4721224, 840, 5, 3, 7
4723092, 841, 4, 3, 7
4724964, 841, 4, 3, 7
4726832, 840, 4, 3, 7
4728704, 840, 4, 3, 7
4730572, 840, 4, 3, 7
4732444, 840, 4, 3, 7
4734312, 840, 7, 3, 7
4736184, 840, 8, 3, 7
4738060, 841, 9, 3, 7
4739924, 840, 6, 3, 7
4741792, 840, 4, 3, 7
4743664, 841, 4, 3, 7
4745532, 841, 4, 3, 7
4747404, 840, 5, 3, 7
4749272, 840, 8, 3, 7
4751144, 841, 8, 3, 7
4753012, 840, 9, 3, 7
4754884, 840, 7, 3, 7
4756752, 840, 6, 3, 7
4758624, 841, 7, 3, 7
4760492, 840, 10, 3, 7
4762448, 840, 11, 3, 7
4764404, 840, 10, 3, 7
4766360, 840, 7, 3, 7
4768228, 840, 5, 3, 7
4770100, 840, 4, 3, 7
4771968, 840, 4, 3, 7
4773840, 840, 5, 3, 7
4775708, 840, 6, 3, 7
4777580, 840, 6, 3, 7
4779448, 840, 6, 3, 7
4781320, 840, 7, 3, 7
4783188, 840, 8, 3, 7
4785060, 840, 7, 3, 7
4786928, 840, 7, 3, 7
4788800, 841, 9, 3, 7
4790668, 840, 8, 3, 7
4792540, 840, 5, 3, 7
4794408, 840, 4, 3, 7
4796280, 840, 6, 3, 7
4798148, 840, 5, 3, 7
4800020, 840, 6, 3, 7
4801888, 840, 7, 3, 7
4803760, 840, 9, 3, 7
4805628, 840, 8, 3, 7
4807500, 840, 6, 3, 7
4809368, 841, 6, 3, 7
4811240, 841, 6, 3, 7
4813108, 840, 7, 3, 7
4814980, 840, 8, 3, 7
4816848, 840, 7, 3, 7
4818720, 840, 7, 3, 7
4820588, 840, 8, 3, 7
4822460, 840, 10, 3, 7
4824412, 840, 11, 3, 7
4826368, 840, 11, 3, 7
4828324, 840, 11, 3, 7
4830280, 840, 12, 3, 7
4832232, 840, 10, 3, 7
4834188, 840, 8, 3, 7
4836060, 840, 8, 3, 7
4837928, 840, 8, 3, 7
4839800, 841, 8, 3, 7
4841668, 840, 11, 3, 7
4843624, 840, 14, 3, 7
4845584, 840, 14, 3, 7
4847536, 840, 15, 3, 7
4849488, 841, 13, 3, 7
4851444, 840, 11, 3, 7
4853400, 840, 9, 3, 7
4855268, 840, 10, 3, 7
4857224, 840, 11, 3, 7
4859180, 840, 12, 3, 7
4861136, 840, 12, 3, 7
4863088, 841, 12, 3, 7
4865048, 840, 11, 3, 7
4867000, 840, 9, 3, 7
4868868, 840, 8, 3, 7
4870740, 841, 6, 3, 7
4872608, 840, 7, 3, 7
4874480, 841, 8, 3, 7
4876348, 841, 8, 3, 7
4878220, 840, 7, 3, 7
4880088, 841, 6, 3, 7
4881960, 840, 7, 3, 7
4883828, 840, 7, 3, 7
4885700, 840, 7, 3, 7
4887576, 840, 7, 3, 7
4889440, 840, 4, 3, 7
4891308, 837, 5, 3, 7
4893180, 833, 4, 3, 7
4895048, 827, 4, 3, 7
4896920, 821, 6, 3, 7
4898788, 815, 5, 3, 7
4900660, 809, 7, 3, 7
4902528, 804, 10, 3, 7
4904484, 798, 15, 3, 7
4906440, 792, 20, 3, 7
4908392, 785, 25, 3, 7
4910348, 781, 30, 4, 7
4912304, 777, 33, 4, 7
4914260, 772, 34, 4, 7
4916216, 768, 34, 4, 7
4918168, 763, 30, 4, 7
4920124, 757, 24, 4, 7
4922080, 753, 20, 4, 7
4924036, 748, 16, 4, 7
4925988, 743, 18, 4, 7
4927944, 737, 23, 4, 7
4929900, 733, 30, 4, 7
4931856, 728, 36, 4, 7
4933808, 724, 42, 5, 7
4935764, 719, 45, 5, 7
4937720, 713, 48, 5, 7
4939672, 708, 49, 5, 7
4941628, 703, 49, 5, 7
4943584, 697, 48, 5, 7
4945540, 692, 47, 5, 7
4947492, 688, 47, 5, 7
4949448, 682, 49, 5, 7
4951404, 676, 55, 5, 7
4953360, 670, 61, 5, 7
4955312, 664, 64, 6, 7
4957268, 659, 69, 6, 7
4959224, 652, 73, 6, 7
4961180, 646, 76, 6, 7
4963132, 640, 77, 6, 7
4965088, 632, 78, 6, 7
4967044, 624, 81, 6, 7
4969000, 619, 80, 6, 7
4970956, 613, 78, 6, 7
4972908, 606, 77, 6, 7
4974864, 601, 79, 6, 7
4976820, 597, 78, 6, 6
4978772, 590, 77, 6, 6
4980728, 586, 77, 6, 6
4982684, 579, 77, 6, 6
4984640, 571, 78, 6, 6
4986592, 564, 75, 6, 6
4988548, 559, 72, 6, 6
4990504, 554, 70, 6, 6
4992460, 548, 71, 6, 6
4994416, 542, 72, 6, 6
4996368, 536, 72, 6, 6
4998324, 530, 73, 6, 6
5000280, 523, 74, 6, 6
5002232, 518, 77, 6, 6
5004188, 512, 80, 6, 6
5006144, 506, 80, 6, 6
5008100, 499, 78, 6, 6
5010052, 492, 75, 6, 6
5012008, 486, 74, 6, 6
5013964, 481, 74, 6, 6
5015920, 475, 73, 6, 6
5017872, 469, 70, 6, 6
5019828, 463, 69, 6, 6
5021784, 457, 68, 6, 6
5023740, 451, 70, 6, 6
5025692, 444, 68, 6, 6
5027648, 438, 66, 6, 6
5029604, 431, 65, 6, 6
5031560, 424, 64, 6, 6
5033512, 417, 64, 6, 6
5035468, 411, 63, 6, 6
5037424, 405, 63, 6, 6
5039380, 400, 63, 6, 6
5041336, 394, 62, 6, 6
5043288, 387, 65, 6, 6
5045244, 382, 67, 6, 6
5047200, 377, 69, 6, 6
