time, x, z
1231960, 282, 91
1233400, 281, 89
1234848, 282, 89
1236292, 281, 90
1237736, 280, 89
1239184, 281, 90
1240628, 281, 90
1242072, 281, 91
1243516, 283, 93
1244960, 282, 93
1246408, 280, 92
1247852, 279, 91
1249300, 279, 91
1250740, 281, 91
1252188, 281, 91
1253632, 281, 91
1255076, 281, 91
1256520, 280, 92
1257968, 280, 91
1259412, 279, 92
1260856, 278, 92
1262300, 280, 91
1263752, 282, 91
1265192, 282, 91
1266636, 281, 90
1268080, 280, 91
1269528, 280, 93
1270972, 280, 91
1272416, 280, 91
1273868, 280, 92
1275308, 280, 92
1276752, 280, 91
1278196, 280, 91
1279640, 279, 91
1281088, 278, 90
1282532, 279, 90
1283976, 280, 91
1285420, 280, 91
1286868, 281, 91
1288312, 281, 91
1289756, 280, 91
1291200, 278, 91
1292648, 276, 92
1294092, 277, 93
1295536, 278, 92
1296980, 280, 91
1298428, 281, 91
1299872, 281, 91
1301316, 280, 91
1302760, 280, 92
1304208, 280, 91
1305656, 280, 90
1307096, 280, 89
1308540, 280, 89
1309988, 281, 90
1311432, 281, 90
1312880, 280, 90
1314320, 279, 90
1315768, 279, 91
1317212, 280, 91
1318656, 281, 93
1320100, 281, 93
1321548, 281, 92
1322992, 280, 91
1324436, 280, 92
1325880, 279, 93
1327328, 279, 92
1328772, 280, 93
1330216, 280, 93
1331660, 281, 92
1333108, 280, 91
1334552, 280, 91
1335996, 280, 92
1337440, 279, 92
1338888, 279, 91
1340332, 279, 91
1341776, 279, 92
1343220, 279, 91
1344668, 279, 92
1346112, 279, 92
1347556, 280, 92
1349000, 280, 91
1350448, 281, 93
1351892, 282, 94
1353336, 282, 93
1354784, 283, 92
1356228, 281, 91
1357672, 279, 90
1359120, 280, 90
1360560, 279, 90
1362008, 279, 90
1363452, 279, 90
1364896, 278, 90
1366340, 279, 91
1367788, 279, 91
1369232, 280, 92
1370676, 280, 93
1372120, 279, 91
1373568, 280, 91
1375012, 281, 89
1376456, 281, 89
1377900, 280, 89
1379352, 280, 88
1380792, 280, 88
1382236, 281, 88
1383680, 281, 89
1385128, 282, 91
1386576, 282, 90
1388016, 281, 90
1389460, 280, 90
1390908, 279, 89
1392352, 278, 89
1393800, 278, 92
1395240, 278, 93
1396688, 278, 94
1398132, 279, 94
1399576, 278, 94
1401020, 278, 94
1402468, 279, 94
1403916, 279, 93
1405356, 279, 92
1406800, 279, 91
1408248, 278, 91
1409692, 278, 91
1411136, 277, 93
1412580, 278, 93
1414028, 279, 93
1415472, 279, 92
1416916, 279, 93
1418360, 279, 93
1419808, 281, 92
1421252, 281, 93
1422696, 280, 93
1424140, 281, 93
1425588, 279, 92
1427032, 279, 92
1428476, 279, 92
1429920, 279, 92
1431368, 279, 92
1432812, 279, 91
1434256, 279, 91
1435704, 281, 92
1437148, 280, 93
1438592, 280, 93
1440036, 280, 91
1441480, 279, 90
1442928, 279, 90
